Population,Plant,Trait,TransplantSite,TraitValue
BighornLake,3780-112,NumStems,Stanford,3.3
BighornLake,3780-112,NumStems,Mather,2.7
BighornLake,3780-112,NumStems,Timberline,4
Boega,3776-1,StemLength,Stanford,52
Boega,3776-1,StemLength,Mather,25
Boega,3776-1,StemLength,Timberline,0
Boega,3776-1,NumStems,Stanford,27
Boega,3776-1,NumStems,Mather,2
Boega,3776-1,NumStems,Timberline,0
Boega,3776-2,StemLength,Stanford,48
Boega,3776-2,StemLength,Mather,33
Boega,3776-2,StemLength,Timberline,0
Boega,3776-2,NumStems,Stanford,35
Boega,3776-2,NumStems,Mather,39
Boega,3776-2,NumStems,Timberline,0
Boega,3776-3,StemLength,Stanford,67
Boega,3776-3,StemLength,Mather,53
Boega,3776-3,StemLength,Timberline,0
Boega,3776-3,NumStems,Stanford,34
Boega,3776-3,NumStems,Mather,39
Boega,3776-3,NumStems,Timberline,0
Boega,3776-4,StemLength,Stanford,61
Boega,3776-4,StemLength,Mather,40
Boega,3776-4,StemLength,Timberline,0
Boega,3776-4,NumStems,Stanford,16
Boega,3776-4,NumStems,Mather,22
Boega,3776-4,NumStems,Timberline,0
Boega,3776-5,StemLength,Stanford,57
Boega,3776-5,StemLength,Mather,29
Boega,3776-5,StemLength,Timberline,0
Boega,3776-5,NumStems,Stanford,20
Boega,3776-5,NumStems,Mather,17
Boega,3776-5,NumStems,Timberline,0
Boega,3776-6,StemLength,Stanford,48
Boega,3776-6,StemLength,Mather,38
Boega,3776-6,StemLength,Timberline,0
Boega,3776-6,NumStems,Stanford,21
Boega,3776-6,NumStems,Mather,12
Boega,3776-6,NumStems,Timberline,0
Boega,3776-7,StemLength,Stanford,38
Boega,3776-7,StemLength,Mather,23
Boega,3776-7,StemLength,Timberline,0
Boega,3776-7,NumStems,Stanford,22
Boega,3776-7,NumStems,Mather,13
Boega,3776-7,NumStems,Timberline,0
Boega,3776-8,StemLength,Stanford,37
Boega,3776-8,StemLength,Mather,20
Boega,3776-8,StemLength,Timberline,0
Boega,3776-8,NumStems,Stanford,4
Boega,3776-8,NumStems,Mather,9
Boega,3776-8,NumStems,Timberline,0
Boega,3776-9,StemLength,Stanford,54
Boega,3776-9,StemLength,Mather,33
Boega,3776-9,StemLength,Timberline,0
Boega,3776-9,NumStems,Stanford,29
Boega,3776-9,NumStems,Mather,16
Boega,3776-9,NumStems,Timberline,0
Boega,3776-10,StemLength,Stanford,48
Boega,3776-10,StemLength,Mather,23
Boega,3776-10,StemLength,Timberline,0
Boega,3776-10,NumStems,Stanford,18
Boega,3776-10,NumStems,Mather,19
Boega,3776-10,NumStems,Timberline,0
Boega,3776-11,StemLength,Stanford,43
Boega,3776-11,StemLength,Mather,23
Boega,3776-11,StemLength,Timberline,0
Boega,3776-11,NumStems,Stanford,15
Boega,3776-11,NumStems,Mather,8
Boega,3776-11,NumStems,Timberline,0
Boega,3776-12,StemLength,Stanford,48
Boega,3776-12,StemLength,Mather,34
Boega,3776-12,StemLength,Timberline,0
Boega,3776-12,NumStems,Stanford,32
Boega,3776-12,NumStems,Mather,10
Boega,3776-12,NumStems,Timberline,0
Boega,3776-13,StemLength,Stanford,48
Boega,3776-13,StemLength,Mather,38
Boega,3776-13,StemLength,Timberline,0
Boega,3776-13,NumStems,Stanford,20
Boega,3776-13,NumStems,Mather,15
Boega,3776-13,NumStems,Timberline,0
Boega,3776-14,StemLength,Stanford,49
Boega,3776-14,StemLength,Mather,39
Boega,3776-14,StemLength,Timberline,0
Boega,3776-14,NumStems,Stanford,24
Boega,3776-14,NumStems,Mather,22
Boega,3776-14,NumStems,Timberline,0
Boega,3776-15,StemLength,Stanford,47
Boega,3776-15,StemLength,Mather,17
Boega,3776-15,StemLength,Timberline,0
Boega,3776-15,NumStems,Stanford,10
Boega,3776-15,NumStems,Mather,2
